"id","ra","dec","nvote","p_e","p_s","type","class"
587727178450665600,"00:10:51.39","-10:46:18.9",30,0.2,0.3,"U","U"
587727178450665600,"00:10:53.39","-10:42:07.0",28,0.685,0.257,"U","U"
587727178450665600,"00:11:22.37","-10:43:14.2",37,0.548,0.117,"U","U"
587727178451058944,"00:14:56.97","-10:50:09.2",29,0.897,0.069,"E","E3"
587727180060885248,"00:07:28.25","-09:25:03.8",53,0.453,0.472,"U","U"
587727180598280320,"00:12:15.01","-09:00:03.8",42,0.018,0.982,"S","EDGE"
587727180598280320,"00:12:15.32","-08:59:16.2",36,0.106,0.628,"U","U"
587727180598280320,"00:12:32.55","-09:02:08.0",22,0.135,0.809,"S","EDGE"
587727180598280320,"00:12:33.25","-09:04:42.2",28,0.786,0,"U","U"
587727221413708032,"00:01:47.08","+14:20:51.9",22,0.337,0.347,"U","U"
587727221413708032,"00:01:49.53","+14:26:22.9",29,0.517,0.407,"U","U"
587727221413708032,"00:01:49.78","+14:30:48.0",52,0.839,0.161,"U","U"
587727221413708032,"00:01:51.33","+14:27:54.1",27,0.126,0.768,"S","EDGE"
587727221413708032,"00:01:57.28","+14:30:48.5",59,0.103,0.828,"U","U"
587727221950578816,"00:01:44.57","+14:53:51.5",29,0.791,0.209,"U","U"
587727221950578816,"00:01:55.08","+14:51:08.8",25,0.027,0.973,"S","CW"
587727222487646464,"00:03:36.64","+15:10:44.8",31,0.218,0.519,"U","U"
587727223024779392,"00:05:38.62","+15:39:03.1",34,0.034,0.966,"S","EDGE"
587727223024779392,"00:05:39.74","+15:46:06.4",29,0.69,0.103,"U","U"
587727223024779392,"00:06:02.65","+15:47:30.2",30,0.687,0.113,"U","U"
587727223024779520,"00:05:42.77","+15:41:03.9",51,0.023,0.956,"S","ACW"
587727223024779520,"00:05:42.80","+15:48:05.3",23,0.446,0.34,"U","U"
587727223024779520,"00:05:45.02","+15:42:05.9",27,0.754,0.162,"U","U"
587727223024779520,"00:05:48.59","+15:36:33.1",30,0.009,0.956,"S","EDGE"
587727223024779520,"00:05:50.86","+15:39:44.1",25,0,0.96,"S","CW"
587727223024779520,"00:05:57.54","+15:41:55.2",32,0.873,0.127,"E","E6"
587727223024779520,"00:06:00.39","+15:40:39.6",36,0.036,0.895,"S","EDGE"
587727223024779520,"00:06:02.25","+15:41:59.9",27,0.078,0.922,"S","EDGE"
587727223024779648,"00:05:52.08","+15:42:54.2",26,0.156,0.611,"U","U"
587727223024779648,"00:05:55.92","+15:37:57.0",54,0.056,0.846,"S","EDGE"
587727223561519360,"00:04:47.27","+16:10:01.0",29,0.016,0.984,"S","EDGE"
587727223561519360,"00:04:48.95","+16:11:31.4",25,0.41,0.378,"U","U"
587727223561519360,"00:04:51.89","+16:10:30.7",25,0.565,0.317,"U","U"
587727223561519360,"00:04:55.84","+16:12:19.0",30,0.716,0.234,"U","U"
587727223561519360,"00:04:56.88","+16:04:53.0",23,0.262,0.157,"U","U"
587727225154502784,"00:11:14.38","-11:01:59.0",53,0,0.962,"S","ACW"
587727225154502784,"00:11:34.23","-10:58:49.6",55,0.535,0.336,"U","U"
587727225154502784,"00:11:40.48","-10:52:55.3",26,0.81,0.071,"U","U"
587727225154502784,"00:11:43.16","-10:56:47.9",61,0.905,0.043,"E","E7"
587727225691373696,"00:11:30.53","-10:33:18.5",59,0.334,0.629,"S","EDGE"
587727225691373696,"00:11:38.91","-10:35:29.9",57,0.897,0.05,"E","E3"
587727226227261568,"00:02:10.27","-10:03:19.0",36,0.262,0.68,"U","U"
587727226227261568,"00:02:16.73","-10:03:31.9",21,0.162,0.838,"S","EDGE"
587727226227261568,"00:02:19.55","-10:01:11.5",30,0.177,0.721,"S","EDGE"
587727226764918912,"00:09:43.70","-09:38:17.5",36,0.647,0.153,"U","U"
587727227301068928,"00:03:15.41","-09:18:36.6",65,0.689,0.171,"U","U"
587727227837808768,"00:01:34.91","-08:51:54.8",31,0.511,0.199,"U","U"
587727227837808768,"00:01:50.18","-08:47:42.7",26,0.368,0.472,"U","U"
587727227838398592,"00:07:07.20","-08:49:20.2",31,0.253,0.652,"U","U"
587727227838398592,"00:07:15.05","-08:50:16.8",26,0.128,0.643,"U","U"
587727227838398592,"00:07:15.90","-08:51:17.9",54,0.2,0.618,"U","U"
587727227838398592,"00:07:19.76","-08:51:37.2",50,0.72,0.14,"U","U"
587727227839119488,"00:14:12.84","-08:53:35.3",37,0.892,0,"E","E0"
587727227839512704,"00:17:22.11","-08:44:49.6",34,0.229,0.375,"U","U"
587727227839512704,"00:17:23.53","-08:51:38.3",41,0.365,0.556,"U","U"
587727227839512704,"00:17:40.52","-08:54:58.2",23,0.043,0.957,"S","ACW"
587727227839512704,"00:17:42.15","-08:53:05.0",39,0.75,0.129,"U","U"
587727227839512704,"00:17:54.20","-08:50:06.8",32,0.234,0.731,"S","EDGE"
587730773888925952,"00:01:23.90","+14:33:13.4",62,0.176,0.54,"U","U"
587730773888925952,"00:01:29.34","+14:43:35.3",54,0.027,0.973,"S","EDGE"
587730773888925952,"00:01:35.20","+14:32:36.8",26,0.378,0.484,"U","U"
587730773888925952,"00:01:35.60","+14:39:33.8",31,0.871,0.065,"U","U"
587730773889253504,"00:04:29.83","+14:34:39.7",33,0.084,0.871,"S","EDGE"
587730773889253504,"00:04:41.02","+14:39:30.0",61,0.475,0.426,"U","U"
587730773889253504,"00:04:51.90","+14:36:15.6",35,0.034,0.966,"S","EDGE"
587730774426779904,"00:10:54.90","+15:04:20.2",61,0.393,0.515,"U","U"
587730774426779904,"00:10:56.02","+15:04:39.9",35,0.818,0.154,"U","U"
587730774426779904,"00:11:03.15","+15:10:31.7",41,0.111,0.806,"S","EDGE"
587730774962733312,"00:01:57.95","+15:28:21.2",35,0.914,0.086,"E","E0"
587730774962733312,"00:01:58.42","+15:30:14.6",33,0.085,0.915,"S","EDGE"
587730774962733312,"00:02:08.30","+15:26:58.7",29,0.221,0.644,"U","U"
587730774962733312,"00:02:10.69","+15:25:57.0",27,0.139,0.733,"U","U"
587730774962733312,"00:02:10.75","+15:23:42.7",28,0.806,0.123,"U","U"
587730774962733312,"00:02:22.04","+15:25:11.1",33,0.767,0.111,"U","U"
587730774963781888,"00:12:03.61","+15:28:49.1",36,0.626,0.344,"U","U"
587730774963781888,"00:12:15.83","+15:28:16.8",40,0.203,0.734,"S","ACW"
587730775499800832,"00:04:13.15","+15:57:34.4",27,0.589,0.371,"U","U"
587730775499800832,"00:04:13.38","+15:50:39.9",71,0.361,0.587,"U","U"
587731186204475648,"00:04:56.79","-00:05:16.6",34,0.735,0.059,"U","U"
587731186204475648,"00:05:12.07","-00:09:02.6",24,0.939,0.061,"E","E1"
587731186204475648,"00:05:19.41","-00:05:24.7",31,0.009,0.959,"S","ACW"
587731186205524096,"00:14:25.56","-00:04:07.4",34,0.184,0.653,"U","U"
587731186205524096,"00:14:25.56","-00:08:29.4",48,0.055,0.897,"U","U"
587731186205524096,"00:14:26.41","-00:10:54.0",24,0.375,0.583,"U","U"
587731186205524096,"00:14:32.97","-00:10:31.1",36,0.44,0.453,"U","U"
587731186205524096,"00:14:34.70","-00:00:45.0",27,1,0,"E","E6"
587731186205524096,"00:14:41.63","-00:08:05.4",28,0.929,0.036,"E","E0"
587731186205524096,"00:14:41.86","-00:02:54.8",23,0.047,0.953,"S","EDGE"
