id,HubbleType,isElliptical
6802,Sd-Irr,NotElliptical
7551,Sd-Irr,NotElliptical
7592,Sd-Irr,NotElliptical
7623,Sab-Scd,NotElliptical
7688,Sd-Irr,NotElliptical
7796,Sd-Irr,NotElliptical
7802,Sab-Scd,NotElliptical
7848,LBS,LBS
8217,Sab-Scd,NotElliptical
8319,Sd-Irr,NotElliptical
8391,E,LBS
8450,E,Elliptical
8485,Sab-Scd,NotElliptical
8487,E,Elliptical
8488,E,Elliptical
8562,Sd-Irr,NotElliptical
8570,Sd-Irr,NotElliptical
8677,Sd-Irr,NotElliptical
8703,S0-Sa,NotElliptical
8823,LBS,LBS
8913,Sd-Irr,NotElliptical
9000,Sd-Irr,NotElliptical
9061,S0-Sa,LBS
9062,S0-Sa,NotElliptical
9064,Sab-Scd,NotElliptical
9067,S0-Sa,NotElliptical
9115,Sd-Irr,NotElliptical
9163,Sab-Scd,NotElliptical
9258,S0-Sa,NotElliptical
9352,LBS,LBS
14460,Sd-Irr,NotElliptical
14496,Sd-Irr,NotElliptical
14515,Sab-Scd,NotElliptical
14564,LBS,NotElliptical
14581,Sd-Irr,NotElliptical
14592,S0-Sa,NotElliptical
14626,Sab-Scd,NotElliptical
14638,LBS,LBS
14639,Sd-Irr,LBS
14649,Sd-Irr,NotElliptical
14652,Sd-Irr,NotElliptical
14759,LBS,LBS
14800,Sd-Irr,NotElliptical
14812,Sab-Scd,NotElliptical
14857,Sd-Irr,NotElliptical
14861,Sd-Irr,NotElliptical
14912,Sd-Irr,NotElliptical
14996,Sd-Irr,NotElliptical
14997,Sd-Irr,LBS
15103,S0-Sa,NotElliptical
15159,Sd-Irr,NotElliptical
15164,LBS,LBS
15173,Sd-Irr,NotElliptical
15175,Sd-Irr,NotElliptical
15191,LBS,NotElliptical
15205,Sd-Irr,NotElliptical
15216,Sd-Irr,NotElliptical
15220,Sd-Irr,NotElliptical
15317,E,Elliptical
15326,Sd-Irr,NotElliptical
15327,Sab-Scd,NotElliptical
15339,LBS,NotElliptical
15379,Sd-Irr,NotElliptical
15418,Sd-Irr,NotElliptical
15481,E,Elliptical
15490,Sd-Irr,NotElliptical
15497,Sd-Irr,NotElliptical
15509,S0-Sa,NotElliptical
15510,Sab-Scd,NotElliptical
15514,Sd-Irr,NotElliptical
15516,Sd-Irr,NotElliptical
15537,Sd-Irr,NotElliptical
15538,Sd-Irr,NotElliptical
15561,Sd-Irr,NotElliptical
15631,LBS,NotElliptical
15766,LBS,NotElliptical
15800,Sd-Irr,NotElliptical
15823,Sd-Irr,NotElliptical
15852,LBS,LBS
15855,E,LBS
15898,Sab-Scd,NotElliptical
15973,Sd-Irr,NotElliptical
15992,Sd-Irr,NotElliptical
16018,Sab-Scd,NotElliptical
16022,E,Elliptical
16050,Sd-Irr,NotElliptical
16065,Sd-Irr,NotElliptical
16070,Sab-Scd,NotElliptical
16294,Sd-Irr,NotElliptical
16310,Sd-Irr,NotElliptical
16317,S0-Sa,NotElliptical
