,id,ra,dec,nvote,p_e,p_s,type,class
0,587727178450665600,00:10:51.39,-10:46:18.9,30,0.2,0.3,U,U
1,587727178450665600,00:10:53.39,-10:42:07.0,28,0.685,0.257,U,U
2,587727178450665600,00:11:22.37,-10:43:14.2,37,0.548,0.117,U,U
3,587727178451058944,00:14:56.97,-10:50:09.2,29,0.897,0.069,E,E3
4,587727180060885248,00:07:28.25,-09:25:03.8,53,0.453,0.472,U,U
5,587727180598280320,00:12:15.01,-09:00:03.8,42,0.018,0.982,S,EDGE
6,587727180598280320,00:12:15.32,-08:59:16.2,36,0.106,0.628,U,U
7,587727180598280320,00:12:32.55,-09:02:08.0,22,0.135,0.809,S,EDGE
8,587727180598280320,00:12:33.25,-09:04:42.2,28,0.786,0.0,U,U
9,587727221413708032,00:01:47.08,+14:20:51.9,22,0.337,0.347,U,U
10,587731886275362944,08:36:38.24,+40:59:44.3,60,0.933,0.05,E,E5
11,587731886276018432,08:42:31.62,+42:06:55.7,34,0.049,0.912,S,EDGE
12,587731886276018432,08:42:48.85,+42:06:07.0,63,0.146,0.76,S,ACW
13,587731886810726528,08:22:34.08,+38:52:01.4,61,0.764,0.102,U,U
14,587731886810726528,08:22:43.39,+38:54:43.9,28,0.841,0.051,E,E1
15,587731886810726528,08:22:56.40,+38:45:06.7,31,0.084,0.497,U,U
16,587731886812037504,08:33:55.31,+41:03:03.6,37,0.018,0.928,S,ACW
17,587731886812102912,08:34:20.29,+41:10:33.2,49,0.05,0.762,U,U
18,587731886812102912,08:34:33.49,+41:06:07.6,40,0.948,0.027,E,E7
19,587731886812168192,08:34:24.23,+41:16:02.5,52,0.134,0.847,S,ACW
